0.638753 0 0.723413 0 0.72341 0.500001 
0.638949 0 0.724428 0 0.724931 0.498934 
0.63929 0 0.72559 0 0.726846 0.497816 
0.639664 0 0.726876 0 0.728986 0.49663 
0.640233 0 0.728577 0 0.731313 0.495361 
0.640806 0 0.730437 0 0.733807 0.494 
0.641383 0 0.732481 0 0.73649 0.492546 
0.641956 0 0.734722 0 0.739383 0.491005 
0.642528 0 0.737174 0 0.742501 0.489387 
0.643105 0 0.739843 0 0.745843 0.487707 
0.643686 0 0.742712 0 0.749391 0.485979 
0.644266 0 0.745741 0 0.753118 0.484218 
0.644847 0 0.748897 0 0.75699 0.482439 
0.645434 0 0.752154 0 0.760967 0.480656 
0.64603 0 0.755475 0 0.765019 0.478883 
0.646627 0 0.758823 0 0.769114 0.477132 
0.647226 0 0.762176 0 0.773227 0.475416 
0.647835 0 0.765523 0 0.777338 0.473744 
0.648453 0 0.768849 0 0.781431 0.472123 
0.649074 0 0.772135 0 0.785497 0.470562 
0.649698 0 0.775373 0 0.789523 0.469066 
0.650532 0 0.779128 0 0.793234 0.467638 
0.65148 0 0.78308 0 0.796771 0.466282 
0.652435 0 0.787048 0 0.800139 0.465 
0.653361 0 0.790951 0 0.803402 0.463791 
0.654428 0 0.794925 0 0.806626 0.462657 
0.655504 0 0.798837 0 0.809772 0.461596 
0.656581 0 0.802679 0 0.812843 0.460608 
0.657661 0 0.806451 0 0.815837 0.459691 
0.658749 0 0.810163 0 0.818754 0.458843 
0.659847 0 0.813815 0 0.821596 0.458063 
0.660947 0 0.817398 0 0.824367 0.457348 
0.66205 0 0.820914 0 0.827065 0.456695 
0.663163 0 0.824374 0 0.829691 0.456104 
0.664285 0 0.827778 0 0.832248 0.45557 
0.665241 0 0.831086 0 0.834623 0.455092 
0.666201 0 0.834336 0 0.836936 0.454667 
0.667195 0 0.837491 0 0.839233 0.454292 
0.6682 0 0.840611 0 0.841442 0.453965 
0.66909 0 0.843526 0 0.843632 0.453683 
0.669907 0 0.846329 0 0.845746 0.453445 
0.670682 0 0.849067 0 0.847771 0.453247 
0.671432 0 0.851753 0 0.849713 0.453087 
0.672161 0 0.854386 0 0.851588 0.452965 
0.672876 0 0.856967 0 0.853402 0.452876 
0.673588 0 0.859506 0 0.855157 0.452819 
0.674296 0 0.862003 0 0.856856 0.452793 
0.674995 0 0.864449 0 0.858503 0.452795 
0.675683 0 0.866848 0 0.860096 0.452823 
0.676367 0 0.86921 0 0.861632 0.452876 
0.677048 0 0.871536 0 0.863113 0.452952 
0.677719 0 0.873818 0 0.864544 0.453049 
0.678381 0 0.876058 0 0.865924 0.453166 
0.67904 0 0.878267 0 0.86725 0.453301 
0.679697 0 0.880445 0 0.868525 0.453453 
0.680344 0 0.882584 0 0.869752 0.45362 
0.680983 0 0.884686 0 0.870931 0.453801 
0.68162 0 0.886761 0 0.872059 0.453994 
0.682254 0 0.888809 0 0.873137 0.454199 
0.682881 0 0.890823 0 0.874169 0.454414 
0.683499 0 0.892804 0 0.875155 0.454637 
0.684115 0 0.894762 0 0.876091 0.454869 
0.68473 0 0.896696 0 0.876977 0.455107 
0.685337 0 0.898599 0 0.87782 0.455351 
0.685937 0 0.900473 0 0.878617 0.4556 
0.686535 0 0.902326 0 0.879365 0.455853 
0.687132 0 0.904159 0 0.880065 0.456108 
0.687722 0 0.905964 0 0.880721 0.456365 
0.688305 0 0.907741 0 0.881332 0.456623 
0.688886 0 0.9095 0 0.881895 0.456881 
0.689467 0 0.911241 0 0.882409 0.457139 
0.690042 0 0.912954 0 0.88288 0.457395 
0.690609 0 0.914642 0 0.883307 0.457648 
0.691176 0 0.916313 0 0.883684 0.457898 
0.691742 0 0.917966 0 0.884013 0.458144 
0.692301 0 0.919592 0 0.884299 0.458384 
0.692854 0 0.921193 0 0.884541 0.458619 
0.693406 0 0.922778 0 0.884733 0.458848 
0.693958 0 0.924344 0 0.884876 0.459068 
0.694503 0 0.925883 0 0.884977 0.459281 
0.695042 0 0.927395 0 0.885032 0.459484 
0.69558 0 0.928889 0 0.885038 0.459676 
0.695874 1 0.929021 0 0.886046 0.459833 
0.696092 1 0.92871 0 0.887721 0.459814 
0.696278 1 0.92825 0 0.889495 0.459549 
0.69648 1 0.927859 0 0.891119 0.458994 
0.696681 1 0.927462 0 0.892722 0.458086 
0.696881 0 0.927063 0 0.894309 0.456744 
0.697078 0 0.926654 0 0.895872 0.455329 
0.697274 0 0.926236 0 0.897413 0.453829 
0.697469 0 0.925808 0 0.898933 0.452231 
0.697662 0 0.925373 0 0.900432 0.450521 
0.697894 0 0.924972 0 0.901856 0.448683 
0.698149 0 0.924589 0 0.903226 0.4467 
0.698417 0 0.924241 0 0.90449 0.444551 
0.698696 0 0.923911 0 0.905699 0.442217 
0.698984 0 0.923591 0 0.906868 0.439675 
0.699285 0 0.923285 0 0.907997 0.436899 
0.699601 0 0.922995 0 0.909081 0.433863 
0.699935 0 0.922725 0 0.910118 0.430539 
0.700288 0 0.922478 0 0.911113 0.426896 
0.70066 0 0.922254 0 0.912065 0.422903 
0.701051 0 0.922057 0 0.912979 0.418525 
0.701461 0 0.92189 0 0.913856 0.413728 
0.70189 0 0.921753 0 0.914698 0.408473 
0.702338 0 0.921651 0 0.915507 0.402724 
0.702803 0 0.921585 0 0.916284 0.396443 
0.703286 0 0.921557 0 0.917032 0.389592 
0.703376 0 0.921767 0 0.917816 0.382135 
0.703113 0 0.921762 0 0.918828 0.374043 
0.703495 1 0.921028 0 0.920178 0.365281 
0.704426 1 0.920956 1 0.920085 0.354808 
