1.56000 1.67000 1.44000 2.26000 2.00000 2.54000 3.00000
3.59000 3.14000 1.98000 1.50000 2.05000 2.50000 3.00000
1.27000 1.49000 2.12000 1.50000 2.07000 2.53000 3.00000
2.79000 2.11000 2.07000 2.01000 2.09000 2.50000 4.03000
1.20000 1.83000 1.00000 1.56000 2.00000 2.50000 3.00000
1.38000 2.27000 1.16000 2.29000 2.00000 2.50000 3.00000
1.79000 1.30000 2.19000 1.50000 2.33000 2.50000 3.01000
1.25000 1.12000 1.96000 2.23000 2.00000 2.50000 3.00000
2.69000 1.70000 2.22000 1.50000 2.00000 2.53000 3.00000
2.57000 1.51000 2.08000 1.50000 2.00000 2.50000 3.04000
2.09000 2.14000 2.40000 2.03000 3.12000 2.50000 3.00000
1.45000 2.39000 1.02000 1.86000 2.08000 2.50000 3.00000
2.07000 2.52000 1.00000 1.50000 2.00000 2.50000 3.00000
2.50000 2.82000 1.12000 1.53000 2.34000 2.50000 3.00000
2.05000 1.33000 1.69000 1.80000 2.00000 2.50000 3.00000
1.12000 1.21000 1.92000 1.61000 2.00000 2.50000 3.00000
2.20000 1.96000 1.63000 1.51000 2.28000 2.50000 3.03000
2.14000 0.89000 1.38000 1.50000 2.15000 2.60000 3.03000
1.58000 1.92000 2.35000 1.59000 2.30000 2.60000 3.04000
1.97000 2.02000 2.36000 1.51000 2.00000 2.50000 3.00000
1.18000 2.33000 1.58000 1.50000 2.00000 2.57000 3.00000
1.36000 1.76000 2.72000 1.50000 2.00000 2.50000 3.00000
1.92000 3.06000 2.39000 1.50000 2.89000 2.61000 3.00000
1.65000 1.14000 1.38000 2.17000 2.70000 2.50000 3.07000
1.04000 1.75000 1.00000 1.52000 2.05000 2.50000 3.00000
1.94000 2.51000 1.54000 1.52000 2.22000 2.50000 3.00000
1.46000 4.06000 3.08000 1.50000 2.00000 3.31000 3.00000
2.20000 1.98000 1.12000 1.50000 2.00000 2.50000 3.64000
3.26000 3.48000 1.40000 1.50000 2.02000 2.56000 3.00000
2.81000 1.23000 1.65000 2.74000 2.00000 2.54000 3.00000
1.75000 1.99000 1.59000 2.91000 2.00000 2.50000 3.01000
1.19000 1.25000 2.74000 1.50000 2.53000 2.51000 3.00000
1.42000 1.23000 1.56000 2.29000 2.92000 3.08000 3.00000
1.00000 1.33000 1.00000 1.55000 2.00000 2.90000 3.13000
3.06000 0.83000 1.04000 1.50000 2.17000 2.50000 3.36000
2.25000 1.03000 1.42000 1.50000 2.00000 2.50000 3.00000
3.40000 2.54000 2.47000 1.90000 2.00000 2.50000 3.00000
1.32000 2.54000 1.02000 1.50000 2.89000 3.24000 3.00000
2.17000 1.01000 1.60000 2.74000 2.07000 2.65000 3.00000
1.11000 2.52000 1.72000 1.50000 2.00000 2.57000 3.00000
1.22000 2.52000 1.14000 1.70000 2.52000 2.73000 3.00000
1.81000 2.95000 2.48000 2.56000 2.00000 2.50000 3.37000
2.03000 2.04000 2.24000 1.50000 2.00000 2.50000 3.02000
2.86000 1.75000 1.91000 1.55000 2.00000 2.51000 3.00000
2.09000 3.25000 1.23000 1.54000 2.00000 2.50000 3.03000
1.86000 1.53000 1.92000 1.51000 2.79000 2.62000 3.00000
1.68000 1.66000 1.04000 2.16000 2.69000 3.02000 3.00000
1.90000 1.66000 1.65000 2.74000 2.00000 2.50000 3.13000
0.99000 2.12000 1.12000 1.50000 2.09000 2.50000 3.00000
1.05000 1.95000 2.55000 2.57000 2.02000 2.50000 3.01000
3.09000 2.05000 1.00000 1.51000 2.00000 2.50000 3.00000
0.00000 1.94000 1.00000 1.50000 2.46000 3.06000 3.31000
2.27000 1.10000 1.23000 1.50000 2.00000 2.51000 3.17000
1.85000 1.50000 1.72000 1.54000 2.06000 2.50000 3.02000
1.81000 3.26000 2.30000 2.78000 2.00000 2.50000 3.10000
1.13000 2.73000 1.32000 1.50000 2.00000 2.50000 3.00000
1.77000 1.80000 2.18000 1.50000 2.01000 3.32000 3.00000
1.52000 3.72000 1.59000 1.51000 2.03000 2.66000 3.10000
2.02000 2.32000 1.84000 1.50000 2.00000 2.50000 3.01000
2.73000 2.32000 1.78000 1.50000 2.01000 2.50000 3.03000
1.93000 0.50000 1.87000 2.52000 2.00000 2.84000 3.00000
1.39000 2.20000 1.68000 2.96000 2.04000 2.96000 3.00000
1.12000 3.63000 3.37000 2.01000 2.00000 2.51000 3.00000
1.21000 1.80000 1.48000 1.75000 2.26000 2.50000 3.00000
